,Unnamed: 0,Node Name,Level,Type
1614,1614,3_2011020221,2,L
1616,1616,7_1222012201,2,L
1617,1617,1_2021020221,3,L
1618,1618,2_2021020221,3,L
1619,1619,5_1222212201,3,L
1620,1620,6_1222212201,3,L
1628,1628,1_2122212001,3,L
1629,1629,2_2102212001,3,L
1630,1630,3_2022212001,3,L
1631,1631,4_2012212001,3,L
1632,1632,5_2112212001,3,L
1633,1633,6_2102212001,3,L
1634,1634,7_2122212001,3,L
1635,1635,8_2122212001,3,L
1653,1653,6_1111111121,4,L
1654,1654,7_2111111111,4,L
1655,1655,8_1111111111,4,L
1657,1657,12_1111111101,4,L
1658,1658,14_1111111111,4,L
1659,1659,16_1111111111,4,L
1660,1660,17_1111110111,4,L
1661,1661,18_1111111111,4,L
1665,1665,25_1111111111,4,L
1666,1666,28_1111111111,4,L
1667,1667,1_1111101011,5,L
1668,1668,2_1111111111,5,L
1669,1669,3_1111111211,5,L
1670,1670,4_1111111211,5,L
1671,1671,9_1111111111,5,L
1672,1672,10_1111111111,5,L
1673,1673,19_1111111111,5,L
1674,1674,20_1111111111,5,L
1675,1675,21_1111111111,5,L
1676,1676,22_1111111111,5,L
1677,1677,23_1111111111,5,L
1678,1678,24_1111111111,5,L
1684,1684,9_2122212221,2,L
1687,1687,4_0112212221,3,L
1688,1688,5_0112212221,3,L
1690,1690,11_2112212021,3,L
1691,1691,12_2112212221,3,L
1692,1692,1_0112212221,4,L
1693,1693,2_0112212221,4,L
